id,recipeName,totalTimeInSeconds,course,cuisine,ingredients,link
284,Taiwanese Three Cup Chicken,3600,Main Dishes,Asian,"Chicken,Cooking Oil,Ginger,Garlic,Scallion,Chili,Wine,Soya sauce,Sugar,Basil",https://www.google.com/search?q=Taiwanese+Three+Cup+Chicken+site:yummly.com
285,Chinese Honey Chicken,3300,Main Dishes,Chinese,"Chicken,Cooking Oil,Starch,Flour,Baking powder,Water,Salt,Egg,Egg,Ginger,Garlic,Honey,Vinegar,Sesame",https://www.google.com/search?q=Chinese+Honey+Chicken+site:yummly.com
286,Chinese Green Beans,1020,Side Dishes,Chinese,"Cooking Oil,Garlic,Beans,Onion,Ginger,Soya sauce,Syrup",https://www.google.com/search?q=Chinese+Green+Beans+site:yummly.com
287,Ramen Noodle Soup,900,Soups,Chinese,"Broth,Noodles,Soya sauce,Cooking Oil,Ginger,Onion",https://www.google.com/search?q=Ramen+Noodle+Soup+site:yummly.com
288,Kung Pao Chicken,1500,Main Dishes,Asian,"Chicken,Starch,Cooking Oil,Onion,Garlic,Pepper,Ginger,Vinegar,Soya sauce,Sugar,Peanut",https://www.google.com/search?q=Kung+Pao+Chicken+site:yummly.com
289,Chinese Orange Chicken,4200,Main Dishes,Chinese,"Chicken,Chicken Broth,Orange,Orange,Vinegar,Soya sauce,Sugar,Ginger,Onion,Garlic,Chili,Pepper,Starch,Water,Egg,Cooking Oil,Onion,Sesame",https://www.google.com/search?q=Chinese+Orange+Chicken+site:yummly.com
290,Pork Stir Fry with Green Onion,1500,Main Dishes,Asian,"Pork,Soya sauce,Sugar,Starch,Cooking Oil,Garlic,Scallion,Cooking Oil",https://www.google.com/search?q=Pork+Stir+Fry+with+Green+Onion+site:yummly.com
291,Cashew Chicken,2700,Main Dishes,Asian,"Chicken,Cherry,Ginger,Starch,Salt,Chicken Stock,Soya sauce,Vinegar,Sugar,Cooking Oil,Garlic,Cashew nut,Onion",https://www.google.com/search?q=Cashew+Chicken+site:yummly.com
292,Crispy Garlic Ginger Chicken,2700,Main Dishes,Asian,"Chicken,Wine,Soya sauce,Salt,Starch,Chili,Garlic,Ginger,Soya sauce,Sugar,Sesame,Scallion",https://www.google.com/search?q=Crispy+Garlic+Ginger+Chicken+site:yummly.com
293,Our Favorite Egg Drop Soup,2400,Soups,Asian,"Chicken Stock,Starch,Egg,Soya sauce,Ginger,Pepper,Cinnamon,Pepper,Cooking Oil",https://www.google.com/search?q=Our+Favorite+Egg+Drop+Soup+site:yummly.com
294,Orange Chicken,2700,Main Dishes,Asian,"Chicken,Egg,Flour,Starch,Orange,Ginger,Garlic,Onion,Cooking Oil,Water,Salt,Soya sauce,Vinegar,Sugar,Orange,Orange",https://www.google.com/search?q=Orange+Chicken+site:yummly.com
295,Turkey Ma Po Tofu,1800,Main Dishes,Asian,"Chili,Garlic,Garlic,Beans,Wine,Soya sauce,Water,Cooking Oil,Turkey,Mushroom,Scallion,Ginger,Starch",https://www.google.com/search?q=Turkey+Ma+Po+Tofu+site:yummly.com
296,Egg Roll,1800,Appetizers,Asian,"Pork,Egg,Ginger,Garlic,Cooking Oil,Egg,Cabbage,Carrot,Soya sauce",https://www.google.com/search?q=Egg+Roll+site:yummly.com
297,Garlic Sauce,1500,Condiments and Sauces,Asian,"Vinegar,Sugar,Soya sauce,Soya sauce,Wine,Chili,Cooking Oil,Starch,Water,Cooking Oil,Garlic",https://www.google.com/search?q=Garlic+Sauce+site:yummly.com
298,Sichuan Spicy Pork And Noodles,2400,Main Dishes,Asian,"Sesame,Soya sauce,Pepper,Cooking Oil,Garlic,Ginger,Onion,Noodles,Pork,Sugar,Cooking Oil,Chive,Pork",https://www.google.com/search?q=Sichuan+Spicy+Pork+And+Noodles+site:yummly.com
299,Chinese Chicken and Broccoli,1800,Main Dishes,Chinese,"Chicken,Broccoli,Cooking Oil,Water,Baking Soda,Sugar,Starch,Soya sauce,Sugar,Garlic,Flour,Vinegar",https://www.google.com/search?q=Chinese+Chicken+and+Broccoli+site:yummly.com
300,Kung Pao Chicken,1800,Main Dishes,Asian,"Starch,Soya sauce,Chicken,White Wine,Sugar,Chicken Stock,Vinegar,Cooking Oil,Cooking Oil,Chili,Scallion,Garlic,Ginger,Peanut",https://www.google.com/search?q=Kung+Pao+Chicken+site:yummly.com
301,Chinese Restaurant Fried Rice,1200,Side Dishes,Asian,"Rice,Carrot,Onion,Peas,Cooking Oil,Egg,Cooking Oil,Soya sauce",https://www.google.com/search?q=Chinese+Restaurant+Fried+Rice+site:yummly.com
302,Sweet and Sour Dipping Sauce,420,Condiments and Sauces,Chinese,"Starch,Vinegar,Cooking Oil,Pineapple,Ketchup,Sugar,Salt",https://www.google.com/search?q=Sweet+and+Sour+Dipping+Sauce+site:yummly.com
303,Chinese Broccoli Beef,2400,Main Dishes,Chinese,"Beef,Broccoli,Baking Soda,Soya sauce,Cherry,Orange,Starch,Garlic,Chili,Cooking Oil,Sugar,Ginger,Rice",https://www.google.com/search?q=Chinese+Broccoli+Beef+site:yummly.com
304,Chinese Chicken and Broccoli,1800,Main Dishes,Chinese,"Chicken,Broccoli,Cooking Oil,Water,Baking Soda,Sugar,Starch,Soya sauce,Sugar,Garlic,Flour,Vinegar",https://www.google.com/search?q=Chinese+Chicken+and+Broccoli+site:yummly.com
305,Our Favorite Egg Drop Soup,2400,Soups,Asian,"Chicken Stock,Starch,Egg,Soya sauce,Ginger,Pepper,Cinnamon,Pepper,Cooking Oil",https://www.google.com/search?q=Our+Favorite+Egg+Drop+Soup+site:yummly.com
306,Better Than Takeout Sesame Chicken,3900,Main Dishes,Asian,"Chicken Stock,Honey,Sugar,Vinegar,Soya sauce,Cooking Oil,Chili,Garlic,Ginger,Starch,Chicken,Egg,Cooking Oil,Sesame,Onion",https://www.google.com/search?q=Better+Than+Takeout+Sesame+Chicken+site:yummly.com
307,Chinese Chicken Corn Soup,1800,Soups,Chinese,"Chicken Stock,Corn,Egg,Starch,Salt,Pepper",https://www.google.com/search?q=Chinese+Chicken+Corn+Soup+site:yummly.com
308,Three Cup Chicken,2400,Main Dishes,Asian,"Cooking Oil,Ginger,Garlic,Scallion,Chicken,Chili,Wine,Soya sauce,Sugar,Basil",https://www.google.com/search?q=Three+Cup+Chicken+site:yummly.com
309,Chicken and Broccoli,2700,Main Dishes,Asian,"Chicken,Cooking Oil,Soya sauce,Ginger,Garlic,Cooking Oil,Broccoli,Pepper,Salt,Scallion,Starch,Honey,Chicken Stock,Rice",https://www.google.com/search?q=Chicken+and+Broccoli+site:yummly.com
310,Chinese Pepper Steak,1800,Main Dishes,Chinese,"Beef,Soya sauce,Cherry,Sugar,Starch,Water,Cooking Oil,Garlic,Ginger,Scallion,Onion,Sweet Pepper",https://www.google.com/search?q=Chinese+Pepper+Steak+site:yummly.com
311,Sriracha Fried Rice,1500,Side Dishes,Asian,"Cooking Oil,Garlic,Ginger,Scallion,Mushroom,Peas,Rice,Chili,Soya sauce,Cooking Oil,Pepper",https://www.google.com/search?q=Sriracha+Fried+Rice+site:yummly.com
312,Easy Chinese Fried Rice,2100,Side Dishes,Asian,"Cooking Oil,Egg,Salt,Scallion,Ham,Rice,Salt,Peas,Cooking Oil,Soya sauce",https://www.google.com/search?q=Easy+Chinese+Fried+Rice+site:yummly.com
313,Chinese Takeout Chicken and Broccoli,1500,Main Dishes,Chinese,"Broccoli,Sweet Pepper,Peas,Chicken,Baking Soda,Sugar,Starch,Soya sauce,Water,Cooking Oil,Sugar,Garlic,Flour,Wine,Cooking Oil",https://www.google.com/search?q=Chinese+Takeout+Chicken+and+Broccoli+site:yummly.com
314,Chinese Chicken Wings,34200,Appetizers,Asian,"Soya sauce,Sugar,Garlic,Chicken",https://www.google.com/search?q=Chinese+Chicken+Wings+site:yummly.com
315,Sriracha Fried Rice,1500,Side Dishes,Asian,"Cooking Oil,Garlic,Ginger,Scallion,Mushroom,Peas,Rice,Chili,Soya sauce,Cooking Oil,Pepper",https://www.google.com/search?q=Sriracha+Fried+Rice+site:yummly.com
316,Chicken Lo Mein,8100,Main Dishes,Asian,"Chicken,Sugar,Vinegar,Soya sauce,Chicken Stock,Water,Cooking Oil,Pepper,Starch,Pasta,Cooking Oil,Ginger,Garlic,Mushroom,Onion",https://www.google.com/search?q=Chicken+Lo+Mein+site:yummly.com
317,Spicy Chicken with Broccoli,2100,Main Dishes,Asian,"Chicken,Starch,Salt,Pepper,Broccoli,Cooking Oil,Chili,Beans,Garlic,Sugar,Ginger,Onion",https://www.google.com/search?q=Spicy+Chicken+with+Broccoli+site:yummly.com
318,General Tsos Chicken,1500,Main Dishes,Asian,"Egg,Starch,Soya sauce,Ginger,Chicken,Cooking Oil,Honey,Vinegar,Cooking Oil,Scallion,Garlic,Broccoli,Rice",https://www.google.com/search?q=General+Tsos+Chicken+site:yummly.com
319,Chinese Chicken Sweet Corn Soup,2700,Soups,Chinese,"Chicken,Chicken Stock,Cooking Oil,Ginger,Chicken Stock,Corn,Corn,Egg,Onion",https://www.google.com/search?q=Chinese+Chicken+Sweet+Corn+Soup+site:yummly.com
320,Chinese Chicken and Corn Soup,1500,Soups,Chinese,"Chicken Stock,Chicken,Corn,Wine,Salt,Pepper,Starch,Egg,Cooking Oil,Onion",https://www.google.com/search?q=Chinese+Chicken+and+Corn+Soup+site:yummly.com
321,Chinese Chicken Stock,9000,Soups,Chinese,"Chicken,Water,Ginger,Onion,Wine,Salt,Pepper",https://www.google.com/search?q=Chinese+Chicken+Stock+site:yummly.com
322,Orange Chicken,3000,Main Dishes,Asian,"Chicken,Egg,Salt,Pepper,Cooking Oil,Starch,Flour,Ginger,Garlic,Chili,Onion,Wine,Water,Orange,Soya sauce,Sugar,Vinegar",https://www.google.com/search?q=Orange+Chicken+site:yummly.com
323,Shanghai Sweet and Sour Ribs,4200,Main Dishes,Asian,"Pork,Soya sauce,Wine,Cooking Oil,Ginger,Scallion,Sugar,Soya sauce,Vinegar,Water,Sesame",https://www.google.com/search?q=Shanghai+Sweet+and+Sour+Ribs+site:yummly.com
324,Quinoa Fried Rice,900,Side Dishes,Asian,"Quinoa,Water,Cooking Oil,Carrot,Onion,Scallion,Salt,Garlic,Ginger,Soya sauce,Cooking Oil,Chili,Egg",https://www.google.com/search?q=Quinoa+Fried+Rice+site:yummly.com
325,Sweet and Spicy Chinese Takeout Chicken,2400,Main Dishes,Chinese,"Sugar,Honey,Soya sauce,Ginger,Garlic,Chili,Chili,Chicken,Flour,Cooking Oil",https://www.google.com/search?q=Sweet+and+Spicy+Chinese+Takeout+Chicken+site:yummly.com
326,Kung Pao Linguini,3000,Main Dishes,Asian,"Chicken,Starch,Cooking Oil,Noodles,Chicken Stock,Soya sauce,Cherry,Chili,Garlic,Sugar,Vinegar,Cooking Oil,Garlic,Peanut,Onion",https://www.google.com/search?q=Kung+Pao+Linguini+site:yummly.com
327,Chinese Lemon Chicken,3000,Main Dishes,Chinese,"Chicken,Soya sauce,Salt,Egg,Starch,Baking powder,Pepper,Cooking Oil,Sugar,Chicken Stock,Lemon,Lemon",https://www.google.com/search?q=Chinese+Lemon+Chicken+site:yummly.com
328,Cuban Mojo Pork Tenderloin,5100,Main Dishes,Cuban,"Orange,Lime,Garlic,Oregano,Cumin,Salt,Bay,Pepper,Pork",https://www.google.com/search?q=Cuban+Mojo+Pork+Tenderloin+site:yummly.com
329,Cuban Sandwich,660,Lunch and Snacks,Cuban,"Butter,Bread,Ham,Pork,Cheese,Pickles,Mayonnaise,Mustard,Mustard,Honey",https://www.google.com/search?q=Cuban+Sandwich+site:yummly.com
330,Cuban Style Black Beans,2700,Side Dishes,Cuban,"Cooking Oil,Onion,Garlic,Scallion,Sweet Pepper,Coriander,Beans,Water,Bay,Cumin,Oregano,Vinegar,Salt,Pepper",https://www.google.com/search?q=Cuban+Style+Black+Beans+site:yummly.com
331,Cuban Flank Steak,2400,Main Dishes,Cuban,"Beef,Lime,Cooking Oil,Cumin,Oregano,Onion,Garlic,Soya sauce,Chili,Lime",https://www.google.com/search?q=Cuban+Flank+Steak+site:yummly.com
332,Cuban Black Beans,6300,Side Dishes,Cuban,"Beans,Sweet Pepper,Cooking Oil,Garlic,Onion,Oregano,Cumin,Bay,Vinegar,Pepper,Salt",https://www.google.com/search?q=Cuban+Black+Beans+site:yummly.com
333,Cuban Spiced Pork Chops,2700,Main Dishes,Cuban,"Pork,Lime,Cumin,Garlic,Onion,Pepper,Cooking Oil",https://www.google.com/search?q=Cuban+Spiced+Pork+Chops+site:yummly.com
334,Cuban Chicken,1800,Main Dishes,Cuban,"Chicken,Salt,Pepper,Cooking Oil,Garlic,Orange,Lime,Bay,Onion,Parsley,Lime",https://www.google.com/search?q=Cuban+Chicken+site:yummly.com
335,Cuban Pork Tenderloin,3600,Main Dishes,Barbecue,"Pork,Orange,Grapefruit,Coriander,Cumin,Oregano,Garlic,Salt,Chili",https://www.google.com/search?q=Cuban+Pork+Tenderloin+site:yummly.com
336,Mojo Sauce,1200,Condiments and Sauces,Cuban,"Garlic,Lime,Orange,Cooking Oil,Oregano,Cumin,Salt,Pepper",https://www.google.com/search?q=Mojo+Sauce+site:yummly.com
337,Cuban Sandwiches,2100,Lunch and Snacks,Cuban,"Bread,Pork,Mustard,Mayonnaise,Ham,Cheese,Pickles",https://www.google.com/search?q=Cuban+Sandwiches+site:yummly.com
338,Crockpot Cuban Pork,1500,Main Dishes,Cuban,"Pork,Orange,Lemon,Oregano,Garlic,Onion,Coriander,Salt,Pepper",https://www.google.com/search?q=Crockpot+Cuban+Pork+site:yummly.com
339,Cuban Black Beans and Rice,36000,Main Dishes,Cuban,"Beans,Garlic,Bay,Cooking Oil,Onion,Pepper,Salt,Cumin,Oregano,Pepper,Chili,Rice,Chicken Broth,Lime,Coriander",https://www.google.com/search?q=Cuban+Black+Beans+and+Rice+site:yummly.com
340,Cuban Black Bean Stew,2400,Main Dishes,Cuban,"Quinoa,Cooking Oil,Onion,Pepper,Beans,Stock,Apple Cider Vinegar,Oregano,Lime,Water",https://www.google.com/search?q=Cuban+Black+Bean+Stew+site:yummly.com
341,Mojito Chicken,3000,Main Dishes,Barbecue,"Chicken,Lime,Rum,Cooking Oil,Mint,Honey,Lime,Garlic,Cumin,Paprika,Onion,Pepper,Salt,Pepper",https://www.google.com/search?q=Mojito+Chicken+site:yummly.com
342,Cuban Chicken Fricassee,5100,Main Dishes,Cuban,"Chicken,Cooking Oil,Garlic,Onion,Sweet Pepper,Tomato,Orange,White Wine,Potato,Salt,Olive,Capers,Oregano,Cumin,Bay",https://www.google.com/search?q=Cuban+Chicken+Fricassee+site:yummly.com
343,Cuban Pork Roast II,6300,Main Dishes,Cuban,"Pork,Garlic,Rosemary,Dill,Oregano,Red Wine,Garlic",https://www.google.com/search?q=Cuban+Pork+Roast+II+site:yummly.com
344,Cuban Sandwich,1200,Lunch and Snacks,Cuban,"Pork,Turkey,Cheddar Cheese,Pickles,Mayonnaise,Mustard,Bread",https://www.google.com/search?q=Cuban+Sandwich+site:yummly.com
345,Cuban Black Beans,6300,Side Dishes,Cuban,"Beans,Cooking Oil,Onion,Garlic,Salt,Coriander,Water",https://www.google.com/search?q=Cuban+Black+Beans+site:yummly.com
346,Cherry Mojitos,4800,Beverages,Cuban,"Sugar,Lime,Cherry,Water",https://www.google.com/search?q=Cherry+Mojitos+site:yummly.com
347,Cuban Meat Sauce,3600,Main Dishes,Cuban,"Cooking Oil,Onion,Sweet Pepper,Garlic,Beef,Tomato,Pepper,Cumin,Oregano,Olive,Capers,Raisin,Wine,Salt",https://www.google.com/search?q=Cuban+Meat+Sauce+site:yummly.com
348,Crockpot Cuban Chicken Rice Bowls,3300,Main Dishes,Cuban,"Chicken,Chili,Cumin,Oregano,Pepper,Orange,Garlic,Butter,Beans,Coriander,Quinoa,Mango,Chili,Onion,Lime",https://www.google.com/search?q=Crockpot+Cuban+Chicken+Rice+Bowls+site:yummly.com
349,Cuban Black Beans and Rice,3300,Main Dishes,Cuban,"Chicken Stock,Rice,Onion,Chili,Garlic,Cumin,Salt,Beans,Lime",https://www.google.com/search?q=Cuban+Black+Beans+and+Rice+site:yummly.com
350,Cuban Pork Tenderloin,3300,Main Dishes,Cuban,"Lime,Lime,Cooking Oil,Garlic,Salt,Cumin,Chili,Ginger,Pepper,Pork",https://www.google.com/search?q=Cuban+Pork+Tenderloin+site:yummly.com
351,Cuban Mango Mousse,1200,Desserts,Cuban,"Mango,Honey,Lime,Cream,Egg",https://www.google.com/search?q=Cuban+Mango+Mousse+site:yummly.com
352,Cuban Pork,1800,Main Dishes,Cuban,"Pork,Lime,Cooking Oil,Cumin,Salt,Pepper,Garlic",https://www.google.com/search?q=Cuban+Pork+site:yummly.com
353,Cuban Salad,1500,Salads,Cuban,"Lettuce,Tomato,Onion,Radish,Garlic,Vinegar,Cooking Oil,Lime,Salt,Pepper",https://www.google.com/search?q=Cuban+Salad+site:yummly.com
354,Mojito Marinade,1200,Condiments and Sauces,Cuban,"Mint,Sugar,Onion,Rum,Lime,Cooking Oil,Lime,Salt",https://www.google.com/search?q=Mojito+Marinade+site:yummly.com
355,Cuban Inspired Flank Steak Salad,1800,Salads,Cuban,"Lime,Orange,Cooking Oil,Garlic,Onion,Oregano,Cumin,Salt,Pepper,Beef,Avocado,Lettuce",https://www.google.com/search?q=Cuban+Inspired+Flank+Steak+Salad+site:yummly.com
356,Cuban Style Pork Taco Bowl,1500,Main Dishes,Cuban,"Pork,Orange,Lemon,Cumin,Oregano,Garlic,Onion,Rice,Beans,Salt,Tomato,Onion,Cheddar Cheese",https://www.google.com/search?q=Cuban+Style+Pork+Taco+Bowl+site:yummly.com
357,Crockpot Cuban Pork,2400,Main Dishes,Cuban,"Lime,Water,Grapefruit,Orange,Garlic,Oregano,Salt,Cumin,Pepper,Bay,Pork,Onion",https://www.google.com/search?q=Crockpot+Cuban+Pork+site:yummly.com
358,Cuban Braised Beef and Peppers,30600,Main Dishes,Cuban,"Tomato,Sweet Pepper,Onion,Oregano,Cumin,Pepper,Salt,Beef,Rice,Avocado,Coriander",https://www.google.com/search?q=Cuban+Braised+Beef+and+Peppers+site:yummly.com
359,Crock Pot Cuban Pulled Pork,44100,Main Dishes,Cuban,"Pork,Lime,Orange,Garlic,Oregano,Oregano,Vinegar,Cumin,Pepper,Salt,Tomato,Pepper",https://www.google.com/search?q=Crock+Pot+Cuban+Pulled+Pork+site:yummly.com
360,Pork and Plantain Cuban Breakfast Hash,900,Breakfast and Brunch,Cuban,"Plantains,Pork,Chili,Onion,Garlic,Cumin,Lime,Salt,Pepper,Egg,Cooking Oil",https://www.google.com/search?q=Pork+and+Plantain+Cuban+Breakfast+Hash+site:yummly.com
361,Cuban Ropa Vieja,30000,Main Dishes,Cuban,"Beef,Onion,Garlic,Tomato,Sweet Pepper,Sweet Pepper,Chili,Oregano,Cumin,Bay,Olive,Water,Salt,Pepper,Capers,Coriander",https://www.google.com/search?q=Cuban+Ropa+Vieja+site:yummly.com
362,Chicken Fried Steak Cuban Style,2700,Main Dishes,Cuban,"Beef,Egg,Bread,Oregano,Cumin,Salt,Pepper,Lemon,Cooking Oil",https://www.google.com/search?q=Chicken+Fried+Steak+Cuban+Style+site:yummly.com
363,Pork Picadillo,2100,Main Dishes,Cuban,"Cooking Oil,Onion,Garlic,Pork,Pepper,Salt,Sweet Pepper,Sweet Pepper,Sweet Pepper,Raisin,Spinach",https://www.google.com/search?q=Pork+Picadillo+site:yummly.com
364,Cuban Black Bean Stew with Rice,2700,Main Dishes,Cuban,"Rice,Cooking Oil,Onion,Sweet Pepper,Sweet Pepper,Garlic,Beans,Broth,Vinegar,Bay,Oregano,Cumin,Corn,Coriander,Salt,Pepper",https://www.google.com/search?q=Cuban+Black+Bean+Stew+with+Rice+site:yummly.com
365,Slow Cooker Cuban Beef,4500,Main Dishes,Cuban,"Beef,Salt,Pepper,Beef stock,Garlic,Cooking Oil,Cumin,Orange,Lime,Lime,Onion,Water",https://www.google.com/search?q=Slow+Cooker+Cuban+Beef+site:yummly.com
366,Cuban Mojito Shortbread Bars,3300,Desserts,Cuban,"Butter,Sugar,Flour,Almond,Salt,Egg,Milk,Lime,Rum,Mint,Sugar",https://www.google.com/search?q=Cuban+Mojito+Shortbread+Bars+site:yummly.com
367,Cuban Glazed Pork Loin,5700,Main Dishes,Cuban,"Pork,Lime,Orange,Garlic,Cooking Oil,Cumin,Salt,Pepper,Sweet Potato,Onion",https://www.google.com/search?q=Cuban+Glazed+Pork+Loin+site:yummly.com
368,Cuban Style Riced Cauliflower,1500,Side Dishes,Cuban,"Cauliflower,Cooking Oil,Onion,Mango,Cumin,Oregano,Garlic,Beans,Coriander,Onion,Plantains,Lime,Lime,Salt,Pepper",https://www.google.com/search?q=Cuban+Style+Riced+Cauliflower+site:yummly.com
369,Pork Carnitas,3600,Main Dishes,Mexican,"Pork,Garlic,Cumin,Oregano,Salt,Pepper,Orange,Lime,Chili,Tortilla,Onion,Tomato,Coriander,Lime",https://www.google.com/search?q=Pork+Carnitas+site:yummly.com
370,Cuban Picadillo,3000,Main Dishes,Cuban,"Beef,Onion,Garlic,Sweet Pepper,Sweet Pepper,Raisin,Olive,Tomato,Water,Coriander",https://www.google.com/search?q=Cuban+Picadillo+site:yummly.com
371,Stuffed Cuban Pork Tenderloin,2220,Main Dishes,Cuban,"Pork,Mustard,Coriander,Cheese,Pickles,Salt,Pepper,Cooking Oil",https://www.google.com/search?q=Stuffed+Cuban+Pork+Tenderloin+site:yummly.com
372,Slow Cooker Cuban Beef,3600,Main Dishes,Cuban,"Beef,Water,Salt,Pepper,Garlic,Cooking Oil,Cumin,Orange,Lime,Lime,Onion",https://www.google.com/search?q=Slow+Cooker+Cuban+Beef+site:yummly.com
373,Cuban Beans and Rice Salad,1500,Salads,Cuban,"Avocado,Vinegar,Cooking Oil,Cumin,Salt,Pepper,Rice,Tomato,Parsley,Beans,Coriander",https://www.google.com/search?q=Cuban+Beans+and+Rice+Salad+site:yummly.com
374,Cuban Black Beans and Rice,2400,Main Dishes,Cuban,"Rice,Cooking Oil,Ham,Onion,Sweet Pepper,Sweet Pepper,Garlic,Cumin,Paprika,Turmeric,Oregano,Beans,Tomato,Chicken Broth,Pepper,Salt",https://www.google.com/search?q=Cuban+Black+Beans+and+Rice+site:yummly.com
375,Cuban Munyeta,3000,Main Dishes,Cuban,"Beans,Cooking Oil,Salt,Pepper,Ham,Garlic,Bacon,Water,Tomato,Meat,Onion,Parsley",https://www.google.com/search?q=Cuban+Munyeta+site:yummly.com
376,Cuban Black Bean Soup,900,Soups,Cuban,"Onion,Chili,Cumin,Beans,Broth,Tomato,Lime,Coriander,Onion,Corn,Chili,Pepper",https://www.google.com/search?q=Cuban+Black+Bean+Soup+site:yummly.com
377,Slow Cooker Cuban Black Bean and Rice Bowls,11400,Main Dishes,Cuban,"Beans,Bay,Oregano,Cooking Oil,Cumin,Onion,Sweet Pepper,Garlic,Salt,Pepper,Coriander,Rice,Avocado,Cream,Chili,Cheese,Tomato,Tortilla",https://www.google.com/search?q=Slow+Cooker+Cuban+Black+Bean+and+Rice+Bowls+site:yummly.com
378,Cuban Pork Adobo Salad,1200,Salads,Cuban,"Pork,Lime,Garlic,Cumin,Salt,Pepper,Pineapple,Arugula,Beans,Onion,Cooking Oil,Honey",https://www.google.com/search?q=Cuban+Pork+Adobo+Salad+site:yummly.com
379,English Style Scones,2100,Breads,English,"Flour,Baking powder,Salt,Sugar,Butter,Milk,Egg,Strawberry",https://www.google.com/search?q=English+Style+Scones+site:yummly.com
380,Irish Tea Time and Scones,1800,Breads,Irish,"Flour,Baking powder,Salt,Butter,Sugar,Milk",https://www.google.com/search?q=Irish+Tea+Time+and+Scones+site:yummly.com
381,Yorkshire Pudding,6300,Side Dishes,English,"Flour,Salt,Egg,Water,Milk",https://www.google.com/search?q=Yorkshire+Pudding+site:yummly.com
382,English Style Scones,2100,Breads,English,"Flour,Baking powder,Salt,Sugar,Butter,Milk,Egg,Strawberry",https://www.google.com/search?q=English+Style+Scones+site:yummly.com
383,Irish Scones,1500,Breads,Irish,"Flour,Salt,Sugar,Baking powder,Butter,Egg,Milk",https://www.google.com/search?q=Irish+Scones+site:yummly.com
384,Easy Clotted Cream,600,Desserts,English,"Cream,Cream,Sugar",https://www.google.com/search?q=Easy+Clotted+Cream+site:yummly.com
385,English Muffin Bread,4500,Breads,Kid-Friendly,"Flour,Yeast,Sugar,Salt,Baking Soda,Milk,Water,Flour",https://www.google.com/search?q=English+Muffin+Bread+site:yummly.com
386,Easy Devonshire Cream,900,Desserts,English,"Cream Cheese ,Sugar,Salt,Cream",https://www.google.com/search?q=Easy+Devonshire+Cream+site:yummly.com
387,English Pudding,5100,Desserts,English,"Butter,Sugar,Flour,Cocoa,Egg,Pear,Chocolate",https://www.google.com/search?q=English+Pudding+site:yummly.com
388,Lemon Posset,18900,Desserts,English,"Cream,Sugar,Lemon",https://www.google.com/search?q=Lemon+Posset+site:yummly.com
389,French Onion Pork Chops,3300,Main Dishes,French,"Cooking Oil,Onion,Thyme,Salt,Pepper,Butter,Beef stock,Red Wine,Pork,Mustard,Cheese",https://www.google.com/search?q=French+Onion+Pork+Chops+site:yummly.com
390,French Onion Soup,3600,Soups,French,"Cooking Oil,Onion,Garlic,Beef stock,White Wine,Thyme,Bread,Cheese",https://www.google.com/search?q=French+Onion+Soup+site:yummly.com
391,French Brioche,3600,Breads,French,"Milk,Yeast,Egg,Salt,Flour,Butter,Egg",https://www.google.com/search?q=French+Brioche+site:yummly.com
392,Classic Coq Au Vin,600,Main Dishes,French,"Chicken,Cooking Oil,Bacon,Flour,Red Wine,Chicken Stock,Bay,Thyme,Butter,Onion,Mushroom,Parsley,Salt,Pepper",https://www.google.com/search?q=Classic+Coq+Au+Vin+site:yummly.com
393,French Onion Chicken,5400,Main Dishes,French,"Butter,Onion,Garlic,Thyme,Flour,Beef stock,Cooking Oil,Chicken,Vinegar,Mustard,Cheese,Salt,Pepper",https://www.google.com/search?q=French+Onion+Chicken+site:yummly.com
394,French Baguette,11700,Breads,French,"Flour,Water,Salt,Yeast",https://www.google.com/search?q=French+Baguette+site:yummly.com
395,Mousse au Chocolat,1500,Desserts,French,"Egg,Chocolate,Water,Cocoa",https://www.google.com/search?q=Mousse+au+Chocolat+site:yummly.com
396,French Classic Madeleines,3300,Desserts,French,"Egg,Sugar,Flour,Baking powder,Honey,Butter",https://www.google.com/search?q=French+Classic+Madeleines+site:yummly.com
397,Creme Brulee French Toast Casserole,6300,Breakfast and Brunch,French,"Bread,Egg,Milk,Sugar,Salt,Vanilla,Orange,Cinnamon,Butter",https://www.google.com/search?q=Creme+Brulee+French+Toast+Casserole+site:yummly.com
398,Basic French Macarons,3900,Desserts,French,"Almond,Sugar,Egg,Sugar,Water",https://www.google.com/search?q=Basic+French+Macarons+site:yummly.com
399,Chicken Cordon Bleu,3600,Main Dishes,French,"Cooking Oil,Chicken,Salt,Pepper,Egg,Egg,Water,Bread,Parmesan Cheese,Ham,Cheese",https://www.google.com/search?q=Chicken+Cordon+Bleu+site:yummly.com
400,Cherry Clafoutis,3300,Desserts,French,"Cherry,Butter,Egg,Milk,Flour,Salt,Sugar,Almond,Vanilla,Sugar",https://www.google.com/search?q=Cherry+Clafoutis+site:yummly.com
401,Creme Brulee,4200,Desserts,French,"Egg,Cream,Sugar,Vanilla",https://www.google.com/search?q=Creme+Brulee+site:yummly.com
402,French Onion Soup,5400,Soups,French,"Butter,Cooking Oil,Onion,Thyme,Sugar,Flour,White Wine,Brandy,Beef stock,Water,Bread,Cheese,Salt,Pepper",https://www.google.com/search?q=French+Onion+Soup+site:yummly.com
